Birth Rate,CO2 Emissions,Country,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,Cluster Category
0.02,87931.0,Algeria,54790058957,0.035,60,0.034,0.0,0.1,71,67,0.0,0.342,0.619,0.039,31719449,0.599,102000000,193000000,Cluster 1
0.05,9542.0,Angola,9129594819,0.034,22,0.128,0.0,1.032,47,44,0.0,0.476,0.499,0.025,13924930,0.324,34000000,146000000,Cluster 1
0.027,4276.0,Botswana,5788311645,0.047,152,0.054,0.0,0.155,52,49,0.1,0.383,0.587,0.029,1755375,0.532,227000000,209000000,Cluster 1
0.042,301.0,Burundi,870486066,0.063,7,0.092,0.0,0.158,49,47,0.0,0.49,0.481,0.029,6674286,0.082,1400000,14000000,Cluster 1
0.041,3432.0,Cameroon,9287367569,0.044,26,0.093,0.0,0.22,53,51,0.0,0.453,0.513,0.034,15927713,0.455,132000000,241000000,Cluster 1
0.039,268.0,Central African Republic,914500332,0.043,11,0.113,0.0,0.22,45,42,0.0,0.423,0.537,0.04,3638316,0.376,5000000,33000000,Cluster 1
0.051,176.0,Chad,1385058212,0.063,10,0.106,0.0,0.22,48,46,0.0,0.49,0.482,0.028,8301151,0.216,14000000,56000000,Cluster 1
0.039,1049.0,"Congo, Rep.",3219910666,0.021,22,0.077,0.0,0.22,53,51,0.0,0.419,0.545,0.036,3126204,0.587,12400000,59000000,Cluster 1
0.025,141326.0,"Egypt, Arab Rep.",99838540997,0.054,79,0.036,0.0,0.132,71,66,0.0,0.354,0.592,0.053,66136590,0.428,4657000000,1206000000,Cluster 1
0.04,455.0,Equatorial Guinea,1045998534,0.024,57,0.099,0.0,0.22,49,46,0.0,0.426,0.537,0.037,518179,0.388,5000000,19000000,Cluster 1
0.044,5831.0,Ethiopia,8091384891,0.043,5,0.09,0.0,0.109,53,51,0.0,0.466,0.503,0.031,66024199,0.147,205000000,80000000,Cluster 1
0.034,1052.0,Gabon,5067865503,0.029,118,0.056,0.0,0.22,61,59,0.1,0.406,0.535,0.059,1225527,0.801,99000000,183000000,Cluster 1
0.042,1280.0,Guinea,2995360969,0.056,19,0.103,0.0,0.194,51,51,0.0,0.44,0.525,0.034,8746128,0.31,7800000,13000000,Cluster 1
0.039,10418.0,Kenya,12705350153,0.047,19,0.069,0.0,0.223,54,52,0.0,0.442,0.531,0.028,31285050,0.199,500000000,156000000,Cluster 1
0.022,47114.0,Libya,33896600871,0.034,252,0.024,0.0,0.07,74,70,0.0,0.333,0.628,0.039,5176185,0.763,84000000,495000000,Cluster 1
0.041,1874.0,Madagascar,3877673635,0.05,12,0.071,0.0,0.265,60,57,0.0,0.455,0.515,0.03,15744811,0.271,152000000,139000000,Cluster 1
0.045,906.0,Malawi,1743506287,0.061,9,0.103,0.0,0.531,46,46,0.0,0.458,0.511,0.031,11321496,0.146,29000000,53000000,Cluster 1
0.017,2769.0,Mauritius,4582562398,0.037,146,0.016,0.1,0.208,75,68,0.2,0.258,0.681,0.061,1186873,0.427,732000000,203000000,Cluster 2
0.022,33905.0,Morocco,37020609825,0.042,54,0.043,0.0,0.133,70,67,0.1,0.341,0.613,0.047,28710123,0.533,2280000000,506000000,Cluster 1
0.044,1349.0,Mozambique,4310090791,0.062,15,0.114,0.0,0.19,49,46,0.0,0.438,0.53,0.032,18275618,0.291,74000000,122000000,Cluster 1
0.032,1643.0,Namibia,3908645566,0.061,126,0.049,0.0,0.153,57,53,0.0,0.405,0.562,0.033,1897953,0.324,193000000,86000000,Cluster 1
0.043,79182.0,Nigeria,46385996027,0.046,17,0.113,0.0,0.213,47,46,0.0,0.435,0.537,0.028,122876727,0.348,186000000,610000000,Cluster 1
0.041,686.0,Rwanda,1734938190,0.042,9,0.108,0.0,0.17,49,47,0.0,0.466,0.505,0.03,8395577,0.149,27000000,35000000,Cluster 1
0.044,425.0,Sierra Leone,635874002,0.184,28,0.141,0.0,0.263,39,37,0.0,0.43,0.546,0.025,4139757,0.356,10000000,35000000,Cluster 1
0.024,368611.0,South Africa,132877640158,0.083,246,0.052,0.1,0.145,58,54,0.2,0.33,0.636,0.034,44000000,0.569,3338000000,2684000000,Cluster 1
0.033,1188.0,Swaziland,1524490159,0.053,75,0.08,0.0,0.14,49,48,0.0,0.446,0.524,0.029,1063715,0.227,24000000,32000000,Cluster 1
0.042,2651.0,Tanzania,10185786171,0.034,10,0.08,0.0,0.216,51,49,0.0,0.448,0.523,0.029,34020512,0.223,381000000,369000000,Cluster 1
0.045,1819.0,Zambia,3253551750,0.056,18,0.1,0.0,0.388,42,42,0.0,0.457,0.515,0.027,10100981,0.348,67000000,102000000,Cluster 1
0.013,3465.0,Armenia,1911563665,0.063,39,0.027,0.0,0.316,75,68,0.0,0.259,0.641,0.1,3076098,0.647,52000000,56000000,Cluster 2
0.015,29508.0,Azerbaijan,5272617196,0.047,30,0.061,0.0,0.197,70,64,0.1,0.311,0.633,0.056,8048600,0.514,68000000,138000000,Cluster 1
0.027,27869.0,Bangladesh,47124925462,0.028,10,0.064,0.0,0.155,66,65,0.0,0.37,0.59,0.041,132383265,0.236,50000000,471000000,Cluster 1
0.014,3405180.0,China,1198474937925,0.046,43,0.03,0.0,0.059,74,71,0.1,0.256,0.675,0.069,1262645000,0.359,17318000000,14169000000,Cluster 2
0.012,4536.0,Georgia,3057453461,0.069,45,0.031,0.0,0.247,75,68,0.0,0.219,0.656,0.125,4418300,0.526,107000000,129000000,Cluster 2
0.026,1186663.0,India,476609148166,0.043,20,0.067,0.0,0.123,63,61,0.0,0.342,0.614,0.044,1042261758,0.277,3598000000,3686000000,Cluster 1
0.022,263419.0,Indonesia,165021012262,0.02,15,0.041,0.0,0.185,69,65,0.0,0.307,0.647,0.047,208938698,0.42,4975000000,3197000000,Cluster 1
0.009,1219589.0,Japan,4731198760271,0.076,2834,0.003,0.3,0.021,85,78,0.5,0.146,0.682,0.172,126870000,0.786,5970000000,42643000000,Cluster 2
0.013,447561.0,"Korea, Rep.",561633037420,0.043,491,0.005,0.4,0.085,80,72,0.6,0.21,0.717,0.073,47008111,0.796,8527000000,7945000000,Cluster 2
0.02,4529.0,Kyrgyz Republic,1369691955,0.047,13,0.042,0.0,0.519,72,65,0.0,0.35,0.596,0.055,4898400,0.353,20000000,28000000,Cluster 1
0.031,972.0,Lao PDR,1731198022,0.033,11,0.083,0.0,0.32,63,60,0.0,0.435,0.529,0.036,5388281,0.22,114000000,8000000,Cluster 1
0.023,126603.0,Malaysia,93789473684,0.03,120,0.009,0.2,0.077,75,71,0.2,0.333,0.628,0.038,23420751,0.62,5873000000,2543000000,Cluster 2
0.025,499.0,Maldives,624337144,0.071,162,0.035,0.0,0.13,70,69,0.0,0.413,0.549,0.038,272745,0.277,321000000,60000000,Cluster 1
0.019,7506.0,Mongolia,1136896162,0.047,22,0.049,0.0,0.37,66,60,0.1,0.348,0.615,0.037,2397473,0.571,43000000,54000000,Cluster 1
0.033,3234.0,Nepal,5494252208,0.05,12,0.06,0.0,0.095,63,61,0.0,0.404,0.558,0.038,23184177,0.134,219000000,109000000,Cluster 1
0.03,73307.0,Philippines,81026294681,0.032,33,0.03,0.0,0.109,70,64,0.1,0.385,0.583,0.032,77651848,0.48,2334000000,1841000000,Cluster 1
0.012,49006.0,Singapore,95835970989,0.027,662,0.003,0.4,0.058,80,76,0.7,0.215,0.712,0.073,4027900,1.0,5142000000,4535000000,Cluster 2
0.018,10161.0,Sri Lanka,16330810304,0.037,32,0.014,0.0,0.162,75,68,0.0,0.269,0.669,0.063,19102000,0.184,388000000,383000000,Cluster 1
0.015,188355.0,Thailand,122725247706,0.034,67,0.019,0.0,0.078,75,67,0.0,0.242,0.693,0.066,62343379,0.314,9935000000,3218000000,Cluster 2
0.019,3022.0,Albania,3686649387,0.064,70,0.023,0.0,0.221,77,71,0.0,0.303,0.628,0.068,3089027,0.417,398000000,290000000,Cluster 1
0.009,53469.0,Belarus,12736856485,0.061,64,0.011,0.0,0.677,75,63,0.0,0.186,0.679,0.134,10005000,0.7,188000000,247000000,Cluster 2
0.011,115709.0,Belgium,232672747374,0.081,1845,0.005,0.3,0.08,81,75,0.5,0.176,0.655,0.169,10251250,0.971,6592000000,9429000000,Cluster 2
0.01,23223.0,Bosnia and Herzegovina,5505984456,0.071,103,0.008,0.0,0.305,77,72,0.0,0.202,0.691,0.107,3834364,0.393,246000000,92000000,Cluster 2
0.009,43531.0,Bulgaria,12903546765,0.062,98,0.018,0.1,0.113,75,68,0.1,0.157,0.677,0.166,8170172,0.689,1364000000,764000000,Cluster 2
0.01,19644.0,Croatia,21517784659,0.078,377,0.007,0.1,0.121,77,69,0.2,0.172,0.673,0.156,4426000,0.556,2871000000,634000000,Cluster 2
0.013,6850.0,Cyprus,9314937556,0.058,744,0.006,0.2,0.08,80,76,0.2,0.224,0.674,0.102,943287,0.686,2137000000,543000000,Cluster 2
0.009,124649.0,Czech Republic,58807244368,0.063,361,0.006,0.1,0.072,78,72,0.4,0.165,0.697,0.138,10255063,0.74,2973000000,1276000000,Cluster 2
0.013,47260.0,Denmark,160082517846,0.087,2613,0.005,0.4,0.081,79,74,0.6,0.185,0.667,0.149,5339616,0.851,3671000000,4669000000,Cluster 2
0.01,15181.0,Estonia,5675697575,0.053,213,0.009,0.3,0.074,76,65,0.4,0.18,0.669,0.152,1396985,0.694,657000000,253000000,Cluster 2
0.011,52141.0,Finland,121793808734,0.072,1700,0.004,0.4,0.056,81,74,0.7,0.182,0.669,0.149,5176209,0.822,2035000000,2293000000,Cluster 2
0.013,365560.0,France,1326334438917,0.101,2209,0.004,0.1,0.067,83,75,0.5,0.189,0.65,0.16,60911057,0.759,38534000000,26703000000,Cluster 2
0.009,829978.0,Germany,1886401326700,0.104,2387,0.004,0.3,0.096,81,75,0.6,0.156,0.681,0.163,82211508,0.731,24943000000,57601000000,Cluster 2
0.01,91616.0,Greece,124418163928,0.079,918,0.007,0.1,0.123,81,75,0.5,0.152,0.68,0.168,10917482,0.727,9262000000,4564000000,Cluster 2
0.01,57238.0,Hungary,46385589534,0.072,326,0.01,0.1,0.126,76,67,0.3,0.168,0.68,0.151,10210971,0.646,3809000000,1722000000,Cluster 2
0.014,2164.0,Iceland,8697298234,0.095,2961,0.003,0.4,0.168,82,78,0.8,0.233,0.651,0.116,281205,0.924,386000000,471000000,Cluster 2
0.014,41345.0,Ireland,97331522066,0.061,1572,0.006,0.2,0.048,79,74,0.6,0.218,0.67,0.112,3805174,0.591,3517000000,2626000000,Cluster 2
0.01,451441.0,Italy,1104009462562,0.079,1527,0.005,0.2,0.07,83,77,0.7,0.143,0.674,0.183,56942108,0.672,28706000000,18169000000,Cluster 2
0.009,6241.0,Latvia,7833068425,0.06,197,0.015,0.1,0.119,76,65,0.2,0.179,0.671,0.15,2367550,0.681,172000000,281000000,Cluster 2
0.01,12200.0,Lithuania,11434200000,0.065,212,0.01,0.1,0.121,78,67,0.2,0.199,0.662,0.139,3499536,0.67,430000000,261000000,Cluster 2
0.013,12064.0,"Macedonia, FYR",3586883989,0.087,153,0.014,0.0,0.189,76,71,0.1,0.224,0.676,0.1,2052129,0.585,88000000,58000000,Cluster 2
0.012,2065.0,Malta,3957418083,0.066,643,0.007,0.1,0.073,80,76,0.3,0.207,0.686,0.107,381363,0.924,731000000,224000000,Cluster 2
0.012,3513.0,Moldova,1288420223,0.067,24,0.025,0.0,0.338,71,63,0.0,0.237,0.663,0.1,3639592,0.458,57000000,86000000,Cluster 1
0.013,165363.0,Netherlands,385074626866,0.08,1932,0.005,0.4,0.048,81,76,0.7,0.186,0.679,0.136,15925513,0.768,11285000000,13649000000,Cluster 2
0.013,38808.0,Norway,168288531891,0.091,3432,0.004,0.5,0.089,81,76,0.7,0.2,0.648,0.152,4490967,0.761,2521000000,4893000000,Cluster 2
0.01,301691.0,Poland,171276118424,0.055,247,0.008,0.1,0.2,78,70,0.2,0.194,0.684,0.123,38258629,0.617,6128000000,3417000000,Cluster 2
0.01,89985.0,Romania,37305099928,0.043,72,0.023,0.0,0.539,75,68,0.1,0.186,0.68,0.134,22442971,0.53,394000000,447000000,Cluster 2
0.009,1558112.0,Russian Federation,259708496267,0.054,96,0.02,0.0,0.244,72,59,0.0,0.182,0.694,0.124,146596870,0.734,3429000000,8848000000,Cluster 2
0.01,37312.0,Slovak Republic,28724041828,0.055,208,0.01,0.1,0.149,77,69,0.2,0.197,0.689,0.114,5388720,0.562,441000000,341000000,Cluster 2
0.009,14265.0,Slovenia,19979467790,0.083,831,0.005,0.2,0.158,79,72,0.6,0.159,0.7,0.141,1988925,0.508,1016000000,544000000,Cluster 2
0.01,294434.0,Spain,580345494748,0.072,1045,0.005,0.1,0.052,83,76,0.6,0.148,0.684,0.169,40263216,0.763,32656000000,7710000000,Cluster 2
0.01,49794.0,Sweden,247260155858,0.082,2282,0.003,0.5,0.058,82,77,0.7,0.184,0.643,0.173,8872109,0.84,4825000000,8959000000,Cluster 2
0.011,39050.0,Switzerland,256042925982,0.099,3541,0.005,0.5,0.043,83,77,0.6,0.174,0.673,0.153,7184250,0.733,8988000000,7360000000,Cluster 2
0.008,320774.0,Ukraine,31261527363,0.056,36,0.016,0.0,0.415,74,62,0.0,0.175,0.688,0.138,49175848,0.671,563000000,561000000,Cluster 2
0.012,543662.0,United Kingdom,1493628385535,0.07,1761,0.006,0.3,0.06,80,75,0.7,0.19,0.652,0.158,58892514,0.787,29978000000,47009000000,Cluster 2
0.021,18643.0,Bahrain,9063147901,0.035,476,0.011,0.1,0.116,76,74,0.3,0.308,0.667,0.024,668239,0.884,854000000,425000000,Cluster 2
0.022,62691.0,Israel,124895151203,0.074,1454,0.006,0.2,0.128,81,77,0.7,0.281,0.619,0.1,6289000,0.912,4611000000,3733000000,Cluster 2
0.031,15508.0,Jordan,8457923945,0.097,171,0.023,0.0,0.118,73,70,0.1,0.394,0.575,0.031,4797000,0.798,935000000,387000000,Cluster 1
0.024,55181.0,Kuwait,37718011469,0.025,494,0.011,0.1,0.089,74,72,0.3,0.257,0.712,0.031,1906231,0.981,394000000,2852000000,Cluster 2
0.024,21896.0,Oman,19867880550,0.031,264,0.014,0.0,0.101,74,70,0.1,0.372,0.605,0.023,2192535,0.716,377000000,629000000,Cluster 1
0.03,51048.0,Syrian Arab Republic,19325894913,0.049,59,0.02,0.0,0.09,75,72,0.0,0.408,0.558,0.034,16371208,0.519,1082000000,669000000,Cluster 1
0.017,112562.0,United Arab Emirates,104337375343,0.022,752,0.01,0.2,0.097,75,73,0.5,0.254,0.736,0.01,3026352,0.802,1063000000,3019000000,Cluster 2
0.039,14639.0,"Yemen, Rep.",9636342275,0.041,25,0.069,0.0,0.195,62,59,0.0,0.486,0.485,0.029,17522537,0.263,73000000,127000000,Cluster 1
0.013,329605.0,Australia,415208189412,0.081,1713,0.005,0.5,0.093,82,77,0.4,0.207,0.669,0.124,19153000,0.872,13016000000,8780000000,Cluster 2
0.025,865.0,Fiji,1684109743,0.039,80,0.021,0.0,0.084,70,65,0.1,0.351,0.615,0.034,811647,0.479,291000000,96000000,Cluster 1
0.015,32897.0,New Zealand,52011621745,0.076,1052,0.006,0.5,0.078,81,76,0.4,0.227,0.655,0.118,3857700,0.857,2272000000,1235000000,Cluster 2
0.035,2688.0,Papua New Guinea,3521348155,0.04,26,0.058,0.0,0.175,61,57,0.0,0.402,0.573,0.025,5379226,0.132,7000000,50000000,Cluster 1
0.036,165.0,Solomon Islands,435101217,0.046,48,0.028,0.0,0.146,64,62,0.0,0.419,0.553,0.028,412336,0.158,4000000,12200000,Cluster 1
0.032,81.0,Vanuatu,272014693,0.036,52,0.02,0.0,0.099,69,66,0.0,0.415,0.552,0.033,185058,0.217,69000000,9000000,Cluster 1
0.02,345.0,Antigua and Barbuda,787693391,0.04,408,0.014,0.1,0.122,76,71,0.3,0.292,0.637,0.071,77648,0.321,291000000,31000000,Cluster 2
0.019,141077.0,Argentina,344272910000,0.092,710,0.018,0.1,0.111,78,70,0.2,0.279,0.621,0.099,36903067,0.891,3195000000,5460000000,Cluster 2
0.018,1668.0,"Bahamas, The",6327552000,0.052,1107,0.013,0.1,0.06,75,69,0.1,0.293,0.654,0.054,297759,0.82,1753000000,348000000,Cluster 2
0.013,1188.0,Barbados,3119500000,0.063,602,0.015,0.0,0.102,75,71,0.1,0.219,0.666,0.115,267190,0.338,733000000,141000000,Cluster 2
0.029,689.0,Belize,831750000,0.04,139,0.021,0.1,0.16,74,67,0.1,0.402,0.555,0.043,238586,0.477,111000000,44000000,Cluster 1
0.031,10224.0,Bolivia,8397858185,0.061,60,0.057,0.0,0.346,65,61,0.1,0.398,0.56,0.042,8495271,0.618,101000000,116000000,Cluster 1
0.021,327984.0,Brazil,644701831101,0.072,265,0.029,0.0,0.568,74,67,0.1,0.296,0.649,0.055,174504898,0.812,1969000000,4548000000,Cluster 1
0.011,534484.0,Canada,739455928894,0.088,2090,0.005,0.5,0.073,82,77,0.3,0.192,0.683,0.125,30769700,0.795,13035000000,15125000000,Cluster 2
0.017,58694.0,Chile,79328640264,0.077,390,0.009,0.2,0.148,80,74,0.2,0.278,0.65,0.072,15454402,0.861,1179000000,904000000,Cluster 2
0.023,57924.0,Colombia,99886577576,0.059,148,0.021,0.0,0.188,75,67,0.1,0.328,0.624,0.047,39897984,0.721,1313000000,1452000000,Cluster 1
0.02,5475.0,Costa Rica,15946443103,0.071,287,0.011,0.1,0.249,80,75,0.1,0.315,0.631,0.055,3929588,0.59,1477000000,551000000,Cluster 2
0.025,20117.0,Dominican Republic,23996656676,0.063,173,0.033,0.0,0.268,74,68,0.1,0.349,0.599,0.051,8663421,0.617,2860000000,440000000,Cluster 1
0.025,20942.0,Ecuador,18327386416,0.036,53,0.028,0.0,0.171,76,71,0.0,0.345,0.604,0.051,12533087,0.603,451000000,416000000,Cluster 1
0.025,5743.0,El Salvador,13134100000,0.081,179,0.027,0.0,0.14,74,65,0.1,0.383,0.562,0.055,5958794,0.589,437000000,219000000,Cluster 1
0.019,191.0,Grenada,523256355,0.066,339,0.014,0.0,0.116,73,68,0.0,0.35,0.572,0.078,101620,0.359,93000000,8000000,Cluster 1
0.037,9916.0,Guatemala,19290566570,0.056,96,0.04,0.0,0.209,71,64,0.1,0.441,0.519,0.04,11204183,0.451,498000000,216000000,Cluster 1
0.022,1610.0,Guyana,712667925,0.058,56,0.039,0.1,0.173,67,60,0.1,0.354,0.602,0.045,744471,0.287,80000000,77000000,Cluster 1
0.031,1368.0,Haiti,3664503846,0.061,26,0.075,0.0,0.314,59,56,0.0,0.403,0.557,0.04,8578234,0.356,128000000,173000000,Cluster 1
0.032,5031.0,Honduras,7105529647,0.066,76,0.031,0.0,0.268,73,68,0.0,0.424,0.537,0.039,6235561,0.455,263000000,198000000,Cluster 1
0.021,10319.0,Jamaica,9008629729,0.055,189,0.02,0.0,0.233,73,68,0.1,0.327,0.599,0.075,2589389,0.518,1577000000,238000000,Cluster 1
0.024,381518.0,Mexico,683647980782,0.051,328,0.022,0.1,0.169,77,72,0.1,0.341,0.61,0.049,103873607,0.747,9133000000,6365000000,Cluster 2
0.028,3762.0,Nicaragua,5107329010,0.054,54,0.033,0.0,0.181,72,67,0.0,0.409,0.554,0.037,5100920,0.547,129000000,126000000,Cluster 1
0.024,5790.0,Panama,11620500000,0.078,295,0.022,0.1,0.105,78,73,0.1,0.321,0.623,0.055,3054812,0.622,628000000,241000000,Cluster 2
0.028,3689.0,Paraguay,8195993231,0.081,124,0.028,0.0,0.268,72,68,0.2,0.382,0.574,0.044,5350253,0.553,88000000,154000000,Cluster 1
0.024,30297.0,Peru,50681123109,0.047,96,0.03,0.0,0.3,73,68,0.0,0.341,0.611,0.048,26000080,0.73,861000000,641000000,Cluster 1
0.02,330.0,St. Lucia,764457723,0.056,272,0.015,0.1,0.131,73,70,0.0,0.322,0.602,0.076,156949,0.278,281000000,33000000,Cluster 1
0.02,158.0,St. Vincent and the Grenadines,397447007,0.037,137,0.019,0.0,0.115,73,68,0.0,0.314,0.616,0.069,107897,0.452,82000000,10000000,Cluster 1
0.023,2127.0,Suriname,892164364,0.087,167,0.03,0.0,0.29,71,65,0.1,0.306,0.637,0.057,466668,0.664,42000000,67000000,Cluster 1
0.015,24514.0,Trinidad and Tobago,8154315708,0.04,260,0.025,0.1,0.165,72,65,0.1,0.256,0.679,0.065,1267980,0.108,371000000,190000000,Cluster 1
0.014,5713560.0,United States,10289700000000,0.136,4790,0.007,0.4,0.092,79,74,0.4,0.213,0.663,0.124,282162411,0.791,120912000000,91473000000,Cluster 3
0.016,5306.0,Uruguay,22823255806,0.112,773,0.015,0.1,0.461,78,71,0.1,0.246,0.624,0.131,3320841,0.92,827000000,381000000,Cluster 2
0.024,152415.0,"Venezuela, RB",117147614566,0.057,273,0.018,0.0,0.252,75,70,0.2,0.337,0.617,0.046,24407553,0.88,469000000,1647000000,Cluster 1
0.019,84293.0,Algeria,54744716706,0.038,65,0.033,0.0,0.095,71,68,0.0,0.33,0.63,0.04,32150198,0.607,100000000,194000000,Cluster 1
0.05,9732.0,Angola,8936079253,0.058,36,0.127,0.0,0.96,47,45,0.0,0.477,0.499,0.025,14385283,0.332,35000000,80000000,Cluster 1
0.027,4334.0,Botswana,5489646903,0.052,175,0.054,0.0,0.158,51,48,0.2,0.377,0.593,0.03,1783349,0.541,235000000,215000000,Cluster 1
0.042,216.0,Burundi,876794723,0.068,7,0.089,0.0,0.168,50,47,0.0,0.484,0.487,0.029,6839376,0.085,900000,12000000,Cluster 1
0.041,3421.0,Cameroon,9633109257,0.047,27,0.09,0.0,0.207,53,51,0.0,0.451,0.515,0.034,16350440,0.461,182000000,199000000,Cluster 1
0.039,246.0,Central African Republic,931833294,0.04,10,0.113,0.0,0.207,45,42,0.0,0.422,0.538,0.04,3704045,0.377,5000000,29000000,Cluster 1
0.051,172.0,Chad,1709347777,0.06,12,0.105,0.0,0.207,48,46,0.0,0.491,0.481,0.028,8620917,0.217,23000000,56000000,Cluster 1
0.039,862.0,"Congo, Rep.",2794259756,0.024,21,0.075,0.0,0.207,54,51,0.0,0.419,0.545,0.036,3205636,0.592,22600000,82000000,Cluster 1
0.03,385.0,Djibouti,572417441,0.054,41,0.078,0.0,0.115,59,56,0.0,0.407,0.562,0.031,733732,0.766,8600000,12900000,Cluster 1
0.025,125452.0,"Egypt, Arab Rep.",97632008051,0.058,76,0.034,0.0,0.133,71,66,0.0,0.348,0.598,0.054,67204189,0.428,4119000000,1248000000,Cluster 1
0.039,3095.0,Equatorial Guinea,1461139008,0.015,50,0.096,0.0,0.207,49,47,0.0,0.423,0.541,0.036,534592,0.388,14000000,30000000,Cluster 1
0.043,4309.0,Ethiopia,8080496318,0.047,6,0.087,0.0,0.109,54,52,0.0,0.466,0.504,0.031,67956866,0.149,218000000,50000000,Cluster 1
0.034,1782.0,Gabon,4712849280,0.033,125,0.055,0.0,0.207,61,58,0.1,0.404,0.538,0.058,1255299,0.809,46000000,256000000,Cluster 1
0.039,9369.0,Kenya,12985991723,0.046,19,0.068,0.0,0.197,54,52,0.0,0.438,0.534,0.028,32126351,0.202,536000000,183000000,Cluster 1
0.022,48100.0,Libya,28420321952,0.041,261,0.024,0.0,0.07,74,71,0.0,0.326,0.634,0.04,5258677,0.764,90000000,572000000,Cluster 2
0.04,1742.0,Madagascar,4529575233,0.05,14,0.067,0.0,0.253,60,58,0.0,0.455,0.516,0.03,16235767,0.274,149000000,179000000,Cluster 1
0.045,906.0,Malawi,1716502069,0.051,8,0.097,0.0,0.562,46,46,0.0,0.46,0.51,0.03,11623166,0.147,40000000,52000000,Cluster 1
0.016,2967.0,Mauritius,4536544699,0.038,147,0.015,0.1,0.211,75,68,0.2,0.255,0.683,0.063,1199881,0.425,820000000,216000000,Cluster 2
0.021,37715.0,Morocco,37724674865,0.044,58,0.041,0.0,0.133,70,67,0.2,0.333,0.619,0.048,29021156,0.537,2966000000,589000000,Cluster 1
0.045,1580.0,Mozambique,4075049537,0.056,12,0.109,0.0,0.227,49,46,0.0,0.44,0.529,0.032,18785719,0.293,64000000,132000000,Cluster 1
0.031,2017.0,Namibia,3546791603,0.062,113,0.049,0.0,0.145,56,52,0.1,0.403,0.564,0.033,1931282,0.329,264000000,71000000,Cluster 1
0.043,83351.0,Nigeria,44138014092,0.048,18,0.11,0.0,0.234,47,46,0.0,0.435,0.538,0.028,126004992,0.357,168000000,858000000,Cluster 1
0.04,689.0,Rwanda,1674685126,0.044,8,0.101,0.0,0.173,50,48,0.0,0.464,0.507,0.029,8760003,0.158,29000000,33000000,Cluster 1
0.044,568.0,Sierra Leone,1079478388,0.16,40,0.139,0.0,0.243,40,38,0.0,0.429,0.547,0.024,4295667,0.359,14000000,42000000,Cluster 1
0.024,362743.0,South Africa,118478986833,0.086,223,0.053,0.1,0.138,57,53,0.2,0.325,0.64,0.036,44909738,0.574,3256000000,2366000000,Cluster 1
0.032,1144.0,Swaziland,1349326983,0.052,65,0.081,0.0,0.133,48,47,0.1,0.44,0.53,0.03,1074761,0.226,23000000,31000000,Cluster 1
0.042,3128.0,Tanzania,10383560998,0.035,11,0.076,0.0,0.201,51,50,0.0,0.447,0.524,0.029,34895398,0.227,626000000,363000000,Cluster 1
0.045,1907.0,Zambia,3653822712,0.06,21,0.095,0.0,0.462,43,42,0.0,0.459,0.514,0.027,10362137,0.35,80000000,102000000,Cluster 1
0.013,3542.0,Armenia,2118467913,0.059,41,0.025,0.0,0.267,75,68,0.0,0.25,0.646,0.104,3059960,0.644,81000000,59000000,Cluster 2
0.014,28771.0,Azerbaijan,5707618247,0.045,31,0.057,0.0,0.197,70,64,0.1,0.301,0.641,0.058,8111200,0.516,57000000,119000000,Cluster 1
0.026,32457.0,Bangladesh,46987842847,0.03,10,0.062,0.0,0.158,66,66,0.0,0.364,0.595,0.041,134729503,0.241,48000000,341000000,Cluster 1
0.022,6197.0,Brunei Darussalam,5601090584,0.032,525,0.008,0.1,0.055,78,74,0.4,0.301,0.671,0.028,339114,0.717,155000000,456000000,Cluster 2
0.013,3487566.0,China,1324806909021,0.046,47,0.028,0.0,0.059,74,71,0.1,0.246,0.683,0.07,1271850000,0.371,19006000000,14992000000,Cluster 2
0.012,3770.0,Georgia,3219487823,0.078,54,0.029,0.0,0.223,76,68,0.1,0.212,0.659,0.129,4386400,0.524,136000000,136000000,Cluster 2
0.025,1203843.0,India,493954333981,0.045,21,0.064,0.0,0.121,64,61,0.0,0.338,0.617,0.044,1059500888,0.279,3342000000,4367000000,Cluster 1
0.021,294907.0,Indonesia,160446947638,0.022,17,0.039,0.0,0.185,70,66,0.0,0.304,0.649,0.047,211970371,0.428,5277000000,3406000000,Cluster 1
0.009,1202266.0,Japan,4159859918094,0.078,2554,0.003,0.4,0.02,85,78,0.6,0.144,0.679,0.177,127149000,0.8,5750000000,35526000000,Cluster 2
0.012,450194.0,"Korea, Rep.",533051998854,0.05,528,0.006,0.6,0.077,80,73,0.6,0.206,0.717,0.077,47357362,0.799,7919000000,8349000000,Cluster 2
0.02,3781.0,Kyrgyz Republic,1525113501,0.048,15,0.04,0.0,0.373,73,65,0.0,0.342,0.602,0.055,4945100,0.353,32000000,21000000,Cluster 1
0.03,902.0,Lao PDR,1768619058,0.041,13,0.08,0.0,0.262,64,61,0.0,0.43,0.533,0.036,5470169,0.23,108000000,4000000,Cluster 1
0.022,136717.0,Malaysia,92783947368,0.033,130,0.008,0.3,0.071,75,71,0.3,0.327,0.634,0.039,23925742,0.629,7627000000,3391000000,Cluster 2
