Birth Rate,CO2 Emissions,Country,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,Cluster Category
0.023,193262.0,"Venezuela, RB",92889586976,0.057,207,0.017,0.0,0.366,76,70,0.3,0.327,0.625,0.047,25333622,0.884,484000000,1546000000,Cluster 1
0.02,92533.0,Algeria,67863832648,0.036,74,0.031,0.0,0.081,71,68,0.0,0.307,0.651,0.042,33003442,0.623,112000000,255000000,Cluster 1
0.05,9065.0,Angola,14188949240,0.049,45,0.125,0.0,0.961,49,46,0.0,0.477,0.498,0.025,15421075,0.346,63000000,49000000,Cluster 1
0.026,4265.0,Botswana,7511538765,0.043,190,0.051,0.0,0.164,48,47,0.2,0.367,0.602,0.031,1832602,0.546,459000000,235000000,Cluster 1
0.043,165.0,Burundi,784654424,0.072,6,0.082,0.0,0.182,50,48,0.0,0.468,0.504,0.028,7264340,0.089,1200000,15000000,Cluster 1
0.041,3795.0,Cameroon,13621809574,0.049,39,0.084,0.0,0.18,53,51,0.1,0.447,0.52,0.033,17223277,0.473,266000000,272000000,Cluster 1
0.038,235.0,Central African Republic,1139754772,0.044,13,0.112,0.0,0.18,46,43,0.0,0.421,0.539,0.04,3829636,0.379,4000000,31000000,Cluster 1
0.039,99.0,Comoros,324470869,0.036,21,0.072,0.0,0.118,60,57,0.0,0.414,0.556,0.03,570491,0.279,16000000,8000000,Cluster 1
0.039,1085.0,"Congo, Rep.",3495868725,0.026,27,0.07,0.0,0.18,54,52,0.1,0.421,0.544,0.036,3363418,0.601,30000000,118000000,Cluster 1
0.029,407.0,Djibouti,622044666,0.062,50,0.075,0.0,0.113,59,56,0.0,0.39,0.578,0.032,755085,0.767,6900000,9900000,Cluster 1
0.024,147963.0,"Egypt, Arab Rep.",82923680622,0.056,56,0.029,0.0,0.135,72,67,0.1,0.335,0.61,0.054,69432477,0.429,4704000000,1465000000,Cluster 1
0.041,4947.0,Ethiopia,8465744001,0.049,6,0.079,0.0,0.07,55,54,0.0,0.465,0.504,0.031,71989666,0.153,336000000,63000000,Cluster 1
0.033,1335.0,Gabon,6054883172,0.038,174,0.053,0.0,0.18,61,58,0.2,0.399,0.543,0.057,1315820,0.822,84000000,239000000,Cluster 1
0.045,315.0,"Gambia, The",487038678,0.042,15,0.059,0.0,0.293,57,55,0.1,0.459,0.515,0.026,1348548,0.506,58000000,8000000,Cluster 1
0.039,6755.0,Kenya,14904504019,0.044,20,0.065,0.0,0.166,54,52,0.0,0.432,0.541,0.028,33905011,0.209,619000000,127000000,Cluster 1
0.023,49167.0,Libya,24062500000,0.041,194,0.022,0.0,0.07,75,71,0.0,0.315,0.644,0.041,5422612,0.767,243000000,689000000,Cluster 2
0.039,1701.0,Madagascar,5474030228,0.048,15,0.061,0.0,0.243,62,59,0.0,0.452,0.518,0.029,17245275,0.279,119000000,67000000,Cluster 1
0.043,957.0,Malawi,2424656666,0.063,13,0.084,0.0,0.489,47,47,0.0,0.461,0.509,0.03,12238739,0.149,66000000,70000000,Cluster 1
0.016,3146.0,Mauritius,5609836354,0.039,188,0.014,0.1,0.21,76,69,0.4,0.249,0.687,0.064,1222811,0.42,960000000,236000000,Cluster 2
0.021,37561.0,Morocco,49822651702,0.053,88,0.038,0.0,0.126,70,67,0.2,0.32,0.631,0.049,29586937,0.543,3802000000,845000000,Cluster 1
0.045,1918.0,Mozambique,4666197195,0.064,15,0.099,0.0,0.247,49,46,0.0,0.444,0.525,0.032,19873460,0.296,106000000,141000000,Cluster 1
0.03,1874.0,Namibia,4931280096,0.065,162,0.049,0.0,0.147,56,52,0.1,0.401,0.565,0.033,1981237,0.347,383000000,101000000,Cluster 1
0.043,93138.0,Nigeria,67655840108,0.075,39,0.103,0.0,0.207,48,47,0.0,0.435,0.538,0.028,132550146,0.374,58000000,2076000000,Cluster 1
0.039,682.0,Rwanda,1845979351,0.063,13,0.083,0.0,0.171,53,51,0.0,0.452,0.521,0.027,9126167,0.176,30000000,26000000,Cluster 1
